2010-01-04,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,Signal_Line
2010-10-20,5982.10009765625,6038.10009765625,5966.75,6002.9501953125,0,5791.460009765625,5326.547758789063,46.874794702806206,72.05878433973885,107.2553239546677
2010-10-21,6101.5,6113.5,5984.89990234375,6008.89990234375,0,5805.0780078125,5330.665759277344,47.284522178306176,68.93521591097033,99.59130234592824
2010-10-22,6066.0498046875,6121.10009765625,6041.35009765625,6113.39990234375,0,5818.07,5334.587009277344,44.09531994127547,62.87445337448935,92.24793255164047
2010-10-25,6105.7998046875,6151.2998046875,6094.60009765625,6101.25,0,5831.143994140625,5338.8005078125,47.55202250991802,60.58041488152503,85.9144290176174
2010-10-26,6082.0,6120.25,6074.64990234375,6116.2998046875,0,5844.417998046875,5342.9867578125,43.47308977560371,56.19415625947022,79.97037446598796
2010-10-27,6012.64990234375,6075.9501953125,5987.5498046875,6075.4501953125,0,5856.387998046875,5346.8030078125,43.29993842922187,46.585038081469065,73.29330718908417
2010-10-28,5987.7001953125,6071.10009765625,5968.10009765625,6039.9501953125,0,5866.55900390625,5350.689509277344,42.86770767518127,36.53535304400157,65.94171636006766
2010-10-29,6017.7001953125,6032.64990234375,5937.10009765625,6021.14990234375,0,5876.10900390625,5354.608259277344,42.69823499413073,30.63847327910389,58.88106774387491
2010-11-01,6117.5498046875,6132.39990234375,6084.75,6092.2998046875,0,5887.847001953125,5358.896508789063,51.54232949712581,33.63446539886627,53.83174727487319
2010-11-02,6119.0,6138.10009765625,6094.39990234375,6127.5498046875,0,5899.357001953125,5363.2305078125,42.04734787678062,35.71413901735377,50.2082256233693
2010-11-03,6160.5,6182.5,6146.7998046875,6150.60009765625,0,5912.465,5367.658757324219,48.808928017958756,40.24705551027273,48.215991600749994
2010-11-04,6281.7998046875,6290.14990234375,6199.35009765625,6209.60009765625,0,5928.853994140625,5372.939506835937,65.34771288407839,53.016167603610484,49.176026801322095
2010-11-08,6273.2001953125,6335.89990234375,6265.35009765625,6335.25,0,5944.76,5378.197006835938,63.905553161285525,61.7302761299743,51.68687666705254
2010-11-09,6301.5498046875,6310.89990234375,6243.5498046875,6281.0,0,5962.6169921875,5384.234006347656,69.9035270871162,70.11559750527431,55.372620834696896
2010-11-10,6275.7001953125,6307.64990234375,6269.25,6303.2001953125,0,5979.8219921875,5390.432507324219,71.92360448234096,73.82417849013564,59.06293236578465
2010-11-11,6194.25,6296.5498046875,6179.5,6286.35009765625,0,5995.658994140625,5396.3642578125,57.34190053307937,69.39100922553735,61.12854773773519
2010-11-12,6071.64990234375,6202.5,6056.75,6182.2998046875,0,6007.654990234375,5402.457006835937,50.38954581179662,55.34688296046261,59.97221478228068
2010-11-15,6121.60009765625,6128.75,6039.39990234375,6079.89990234375,0,6020.363994140625,5408.728757324218,51.08369854031074,47.69754738784832,57.51728130339421
2010-11-16,5988.7001953125,6144.0498046875,5970.60009765625,6143.4501953125,0,6030.55,5414.262009277344,44.43384101615799,30.559214801965027,52.12566800310838
2010-11-18,5998.7998046875,6076.2001953125,5906.75,6075.9501953125,0,6038.9869921875,5419.757507324219,49.110860200829926,17.589159936364013,45.21836638975951
2010-11-19,5890.2998046875,6013.25,5863.9501953125,6011.2998046875,0,6044.71298828125,5425.058505859375,44.35293558118257,-1.4282808835387186,35.88903693509986
2010-11-22,6010.0,6020.25,5905.14990234375,5920.89990234375,0,6052.755986328125,5430.449255371093,49.59561987344979,-6.762974995188415,27.358634549042204
2010-11-23,5934.75,5973.35009765625,5824.9501953125,5971.5498046875,0,6058.649990234375,5435.896254882812,40.145552713899,-16.868356706649138,18.513236297903937
2010-11-24,5865.75,5976.64990234375,5833.60009765625,5946.7998046875,0,6060.764990234375,5441.631755371094,37.274493831764694,-30.097720079370447,8.791045022449062
2010-11-25,5799.75,5907.10009765625,5780.35009765625,5883.9501953125,0,6060.848994140625,5446.828505859375,32.30835100544243,-45.38456921663874,-2.0440778253684986
2010-11-26,5751.9501953125,5838.5,5690.35009765625,5828.5498046875,0,6058.668994140625,5451.625007324219,21.996709174878248,-60.65733208595975,-13.76672867748675
2010-11-29,5830.0,5843.14990234375,5754.7001953125,5789.9501953125,0,6058.694990234375,5456.989006347656,28.178206719871994,-65.70572504741267,-24.154527951471934
2010-11-30,5862.7001953125,5892.25,5768.35009765625,5811.60009765625,0,6058.249990234375,5462.168256835937,28.48459197606877,-66.30367289772585,-32.58435694072272
2010-12-01,5960.89990234375,5971.0,5865.5498046875,5871.0,0,6057.858984375,5467.9630053710935,35.588702737138576,-58.18295828339615,-37.704077209257406
2010-12-02,6011.7001953125,6029.5,5980.60009765625,6023.0498046875,0,6057.9119921875,5473.742756347656,41.40173151172878,-47.105076359750456,-39.58427703935602
2010-12-03,5992.7998046875,6025.39990234375,5964.25,6013.35009765625,0,6057.94798828125,5479.136755371093,45.88400638841154,-39.396737622025285,-39.54676915588987
2010-12-06,5992.25,6069.4501953125,5981.7001953125,6033.64990234375,0,6058.6019921875,5484.659255371093,42.88072324449545,-32.95233428267329,-38.22788218124656
2010-12-07,5976.5498046875,6001.0,5939.7001953125,5995.0498046875,0,6057.7669921875,5490.3175048828125,49.23220280410742,-28.780212383236176,-36.33834822164448
2010-12-08,5903.7001953125,5960.0,5878.60009765625,5954.39990234375,0,6055.127998046875,5495.5540063476565,44.432107179449645,-30.994841131446265,-35.26964680360484
2010-12-09,5766.5,5927.2998046875,5742.2998046875,5924.25,0,6049.867998046875,5500.036257324219,42.98743756119418,-43.32147648752107,-36.88001274038809
2010-12-10,5857.35009765625,5865.5,5721.14990234375,5761.0,0,6047.18900390625,5505.030007324219,41.06108304240044,-45.2381035034623,-38.55163089300294
